Date,Open,High,Low,Close,Volume,Market Cap
Mar-20-2022,0.99995,1.0001,0.9999,1,2274954203.5555553,52981008335.93226
Mar-19-2022,0.99995,1.00005,0.9999,1,2033775703.5555556,52952883239.1906
Mar-18-2022,0.99995,1.00005,0.99985,0.9999,2902039121.7777777,52897307307.55251
Mar-17-2022,1,1.0001,0.9999,1,3003277447.111111,52742804955.80551
Mar-16-2022,0.99995,1.00005,0.9999,1,3312286415.111111,52493199957.365616
Mar-15-2022,1,1.0001,0.9999,1,3499107894.2222223,52339516977.90003
Mar-14-2022,1,1.0001,0.99995,1.00005,2504578400,52440467652.21255
Mar-13-2022,0.99995,1.0001,0.99985,0.99995,2513869174.2222223,52444020488.67214
Mar-12-2022,0.99995,1.00005,0.9999,1,1636011886.2222223,52403233035.05518
Mar-11-2022,0.99995,1.00005,0.9999,0.9999,2402031727.5555553,52393674327.3238
Mar-10-2022,1,1.00005,0.9999,0.99995,2655207955.111111,52542675768.756195
Mar-09-2022,1,1.00005,0.9999,1,2964914245.7777777,52392866671.812874
Mar-08-2022,1,1.00005,0.99995,1,3275998666.6666665,52423224047.3251
Mar-07-2022,1,1.0001,0.99995,1,3215856546.6666665,52524723235.13966
Mar-06-2022,1.00005,1.0001,0.99995,1.00005,2739748081.7777777,52626275889.60317
Mar-05-2022,1,1.00005,0.99995,1.00005,1894865127.5555556,52923300784.65178
Mar-04-2022,0.9999,1.00005,0.9999,1.00005,2941371411.7275987,52884587811.53765
Mar-03-2022,0.99995,1.00005,0.9999,0.9999,3258012279.4666667,53215841301.54689
Mar-02-2022,1,1.00005,0.9999,0.9999,3305317934.383275,53508900306.92392
Mar-01-2022,0.99995,1.00005,0.99985,1.00005,4151754139.5555553,53575075338.63574
Feb-28-2022,0.99995,1.00005,0.99985,0.9999,4313644863.111111,53512264932.5538
Feb-27-2022,1.00005,1.00005,0.9999,0.99995,3717621982.2222223,53431103311.37015
Feb-26-2022,1.00005,1.0001,0.9999,1,2377535197.7777777,53331614249.562485
Feb-25-2022,0.99995,1.0001,0.99985,0.99995,3495011155.5555553,53287154953.49996
Feb-24-2022,0.99995,0.99995,0.99985,0.9999,5352225710.222222,53237245744.89416
Feb-23-2022,0.99995,1.00005,0.9998,0.9999,5080146690.666667,52979437681.43749
Feb-22-2022,0.99995,1.00005,0.9999,0.99995,2985519435.111111,52780494561.142075
Feb-21-2022,1,1.00005,0.9999,1,3788301515.111111,52657917293.181854
Feb-20-2022,1.00005,1.0001,0.99995,0.99995,2757048573.3333335,52602053875.07944
Feb-19-2022,0.99995,1.0001,0.9999,1.0001,1914609849.7777777,52605649913.03586
Feb-18-2022,1,1.0001,0.9999,0.9999,2207045048.6666665,52584791743.29667
Feb-17-2022,1.0001,1.0001,0.99995,1,2870478145.1149826,52527285170.47839
Feb-16-2022,0.99995,1.0001,0.9999,1.0001,2643947991.5555553,52651100076.704926
Feb-15-2022,0.99995,1.00005,0.9999,1,2411600042.815331,52553160402.268105
